SITIO,d,cw,h,cb
9,11.5,2.4,10.2,7
24,12.5,2.15,10.1,4.5
24,54.1,5.15,18.6,12.3
24,10.7,2.4,7.9,5.2
24,23.3,6.4,14.1,9.5
24,17.6,6.3,12.4,9.1
24,15,3.75,10.3,7.2
24,17.2,4.05,12.6,8.4
24,12.2,3.3,8.1,6.2
24,17,2.4,5.7,3.9
24,17,3.5,14.2,8.7
24,19.4,7.4,8.1,5.1
24,32.5,4.4,14.4,8.3
24,31.1,8.75,15.6,7.5
24,22.5,4.05,7.2,5.4
24,15.8,3.1,6.9,4.1
24,36.2,8.55,21,14.6
24,15.2,4.3,10.2,6.3
24,19.1,10.55,13.2,10.1
24,11.6,2.7,9.2,5.9
24,14.8,3.5,9.5,5.2
24,34.7,7.05,18.4,9.6
24,22.8,7.85,16.8,9.5
24,27.1,5.95,14.1,10.6
24,39.6,10.2,23.9,15.2
24,45.4,11.2,23.7,13.9
24,35.4,8,18.5,12.6
24,18.2,6.45,12.1,9.7
24,11,3.65,6,3
24,21.9,3.2,14.8,9.4
24,19.3,5.75,9.9,7.3
24,12.3,3.05,10.6,8.5
24,22.8,6.2,19.1,10.9
24,34,8.1,21.1,12.7
24,26.3,4.75,20.6,17.1
24,16.4,4,12.3,6.7
24,34.9,8.9,18.6,8.8
24,22.2,3.4,15.7,10.5
24,18.5,3.95,13.4,7.4
24,16.7,2.95,13.6,10.3
24,18.4,2.9,12.4,8.1
24,14.7,3.55,10.3,6.2
24,22,7,11.3,7.4
24,58.9,11.55,20.4,12.8
24,23.3,8.85,12.3,9.8
24,39.7,12.45,18.2,11.8
24,41.5,8.5,21.2,11.6
24,9.2,2.2,6.1,3.6
24,16.5,4,10.4,5.3
24,12.8,3.7,9.8,5.3
24,20.1,5.7,13.5,6.1
24,57.3,13.6,19.7,12.2
24,13.4,2.45,8.8,5.8
24,20.4,4.75,14.4,9.4
24,27.3,6.5,18.1,12.3
29,13.8,4.85,8.9,3.8
35,33,3.65,18.4,11.7
35,18.4,5,12.1,5.3
23,28.1,10.15,14.3,8.6
23,23.7,4.7,11.3,7.2
23,25.3,4.3,15.8,8.9
23,16.3,3.5,15.3,8
23,27.6,7.95,16.3,10.1
23,19,5.3,14.7,6.5
23,18.5,4.55,11.5,8.9
23,21.8,5.75,15.6,8.6
23,25.8,6.2,15.3,11.1
23,26.9,8.6,15.9,9.6
23,29.3,5.55,15.3,10.6
23,26,6.15,12.8,8.9
23,17.5,3.55,13.3,6.3
23,38.3,11.25,19.8,12.3
23,16,3.95,12.5,5.8
23,26.9,6.15,15.7,9.8
23,14,5.35,11.6,9.1
23,19.4,5.35,10.5,6.9
23,23.6,8.1,16.7,12.6
23,12.9,2.4,12.3,7.2
23,11.8,2,9.7,6.4
23,25.1,6.45,14.2,7.1
23,23.9,5.35,16.2,11.1
23,16,2.95,9.4,6.1
23,18.2,3.95,9.7,8.9
23,38.5,10.5,22.7,13.1
23,21,5.75,17.4,11.7
23,31,6.5,14.1,6.6
23,27.6,11.05,16.8,9.8
40,30.5,5.75,24,17
40,38.7,6,24.5,4.3
40,28.5,6.6,24.2,13
40,45.1,8.5,24,12
40,52.2,8.85,27.7,15.1
40,29.5,6.7,19.5,10.6
40,48.2,8.95,27,17.5
40,42.5,9,26,11.3
40,25.3,5,19,13
48,68,10.05,31.7,21.6
48,66.7,13.35,31,15.4
48,61,14.8,26.5,14.5
48,42,7.6,22.6,15.2
48,40.6,12.1,21.5,12.6
48,51.5,8.4,29,19.7
48,47.6,6.6,24.1,18.3
48,41,12.6,24.6,18.2
48,48,10.3,27.4,16
48,57,14.55,29.5,21
48,28,7.1,15.7,8.7
48,71,15,29.5,21.1
48,32.5,5.95,17.2,13.9
48,53,13.65,28.9,16.3
48,39.5,10.3,24.6,17.7
39,30.3,8.6,16.8,10.2
39,32,9.6,21.9,12.4
39,23.4,6.75,17.4,10.6
39,26.7,11,21.4,15.2
39,23.8,5.55,17.4,11.5
39,33.1,11.85,24.2,16.8
39,32.9,7.1,18.3,13.4
39,35.1,10.1,17.7,12.9
39,36.4,10.45,19.3,12.7
39,24.7,4.35,16.5,11.8
39,31.7,9.55,15.4,10.5
28,24,6.9,17.2,8.5
28,14.5,4.9,19,12.5
28,21,4.25,22.2,12.9
28,20.2,5.05,16,10
28,11.3,4.15,10,8.5
28,39,8.75,26,17
28,23.7,4.95,24.1,17
28,10,3.45,9.5,7.5
28,19.3,4.8,20.5,12.2
28,30.5,5.75,27,20.1
28,8.5,4.5,9.3,5.4
28,21.3,3.95,25.6,16.6
28,39,8.3,32.4,20.2
28,37,5.85,25.5,16.6
28,27.5,5.5,16.8,13
28,43.8,8,30,17.5
28,26.5,5.4,17,8.5
28,38,6.2,28,16
28,9,2.85,8,4.5
28,55.1,14.85,33.1,22.6
28,47.3,10.9,29,17.2
56,55.5,8.75,28.9,17.5
56,62,8.45,27.1,24.2
56,60.6,11.2,28.4,20.7
56,62.8,13.8,23.8,20.6
56,54.1,7.75,25.4,18.5
56,62.4,10.1,29.4,20.6
56,70.7,14.9,31.6,15.5
56,53.9,10.1,28.8,16.7
56,60.3,10.6,25.6,18.1
56,71,13.25,26.2,16.9
56,58,10.35,26.2,18.7
56,63.6,9.2,28.2,20.2
47,26.6,8.4,15.3,9
47,34.5,9.85,14.8,8.3
47,29.5,6.55,20.3,11.5
47,33.2,9.45,17.7,9
47,28.6,8.45,16.5,7.9
47,28.3,7.7,15.8,11.1
52,50.3,9.45,23.8,15.4
52,61.5,11,26.2,16.7
52,33.7,5.05,21.3,13.3
52,54.7,12.05,25.2,16.5
52,37.7,6.75,16.4,13.3
52,41.5,10.1,21.2,14.3
53,31.8,5.25,13,6.1
53,33.7,6.1,14.8,10.3
53,38.2,8.3,19.5,15.1
53,34.7,7,18.8,8.6
53,41,10,20.3,11.7
53,46.9,9.5,18.6,14.9
53,37.7,10.05,19.1,15.3
31,22.1,2.75,26,18
31,45.6,8,25.9,12.3
31,41.5,7.75,26.8,14.2
31,21.9,3.9,15.9,9.9
31,41.3,6.5,26.2,13.1
31,31.5,5.5,20.1,13.4
31,18.3,5.1,15.2,12.5
31,16.9,6.9,13.2,9.8
31,19.5,3.65,22.7,17.9
31,20.6,5.95,17.3,11.3
31,19.4,4.9,18.8,12.6
31,20.1,4.9,16.8,11
31,23.5,6.95,27,16.9
31,39.9,8.35,26,13.8
31,24.3,8.9,14.6,12.4
31,22.8,6.3,15,10.4
31,20.5,4.35,22.2,15
31,43.6,9.2,25.2,12.9
31,51,9.15,25.8,18.2
31,19.7,4.75,16.6,12
31,22.5,7.95,13.6,6.3
31,41,5.75,24.3,16
31,30.3,5.4,24.7,11.4
31,25.9,4.75,20,17.5
31,23.3,5.5,22,14
31,48.8,8.85,25.2,16.4
44,40.5,7.8,26.2,18.8
44,44,7.05,27,18
44,35.5,6.45,24.4,14.6
44,37.1,6.8,25,19
44,30.7,4.95,24.9,17.7
44,82.1,11.75,33,20
44,34.5,9.75,26,16.8
44,41.9,7.05,24,15
44,42.5,8.6,29,14.7
44,39.4,10.55,24,19.5
44,36.5,8.25,26,19
44,32,5.95,23.8,20.5
44,34.3,6.15,27.3,22
44,43.9,8.2,28,20
44,41.1,7,28,15.7
44,34.4,6.95,22.2,14
44,40.2,6.15,24,20
44,33.5,5.75,17,15
44,35.1,6.85,27,16.7
44,43.5,6.5,27,18.6
55,53.7,12.85,25.5,11.8
55,44.2,10.6,22.2,16.1
7,12,2.25,9.4,6.3
7,36.2,11.5,17.6,2.6
7,9.1,1.95,8.6,6
7,8.7,2.4,8.5,3.7
7,25,5.75,15.6,12.4
7,22,8.35,14.7,10.6
7,21.8,3.5,13.1,10.7
7,42.5,11.05,19.1,11.7
7,14.5,5.6,8.8,6
7,40.1,10.35,17.4,12.3
7,9.3,3.3,6.9,2.4
7,36.5,7.55,19.4,13.6
7,14.7,3.35,11.9,6.9
7,12.4,3.8,9.1,5.8
7,40.8,14.85,22.9,13.6
7,9.4,3.4,7.4,4.2
12,37.2,5.7,29.3,18.1
12,28.5,5.15,24.9,18
12,17.6,4.25,19.4,14.1
12,11.8,6.2,11,2.4
12,18,3.55,20.6,11
12,33.8,7.1,25.3,17.8
12,15.6,3.8,19.3,5.2
12,40.8,6.75,25,16
12,12,3.25,11.8,9.8
12,22.5,3.7,25,18.7
12,39.1,7.55,27,17.1
12,31.6,6.05,25.7,17.3
12,15.6,5.05,16.3,13.7
12,14.1,3.9,16.8,13.6
12,15.2,3.9,15.1,10.5
12,33.6,7.1,26.5,15.5
12,12,2.55,15.1,11.7
12,20.6,3.8,18.4,15.6
12,34.4,6.05,26.4,19.1
12,18.9,3.55,23.2,18.5
12,38.6,6.05,22.6,12.6
12,32.7,7.05,26.1,18
12,20,6.55,18.8,14
12,17.1,3.65,17.2,10.3
12,36.8,6.5,25.7,16.5
12,31.1,4.65,19.6,14.2
12,16.8,3.15,17.6,14.8
12,33.6,6.25,27.6,21.9
12,18.2,3,23.3,19.4
12,40.5,6.15,29.1,17.1
12,16.3,3.65,18.1,12.6
12,10.8,3.7,12.9,10.5
12,20.2,4.7,20.4,16.1
12,14.8,3.65,15.8,11.3
12,43.4,7.65,27.2,17.5
12,31.5,3.95,25.9,17.7
12,13.6,4.55,17.8,13.9
12,18.2,4.3,17.2,13.4
12,25.1,6.3,15.4,12.2
12,30.4,5.25,24.4,18.8
12,23.1,5.45,26,17.1
12,38.7,6.3,26.9,18.8
12,35,7.55,24.5,15.9
12,15.7,5.05,13,11.4
12,38.6,6.75,28.5,18.4
12,30.7,5.45,23.9,17.5
12,33.5,6.25,19,13.5
12,31.4,5.4,27.1,17.9
12,19.4,4.65,22.2,16.3
12,20.1,3.6,21.7,16
12,21.1,4.55,17.4,14.1
12,14.6,2.75,17.6,13.7
12,36.1,6.05,24.8,16.7
12,18,3.65,21.7,16.1
12,19.5,3.9,19,16.7
12,47.7,9.15,23.7,13.9
12,18.5,6,12.6,8.5
12,48.1,7.6,26.7,15.5
12,17,4.5,15.7,11.7
12,38.4,7.05,28.6,19
12,27,5.7,24,17.7
12,25.7,6.05,21.2,12.6
12,20.4,3.15,22,17.9
12,15.7,3,18.9,16.1
12,30,6.5,18.8,16.9
12,32.8,7.6,24.5,17.2
12,14.7,2.85,17.6,13.6
12,40.7,7.65,24.8,16.6
12,31,6.8,24,16.1
12,39,7.45,28.9,19.4
12,15.7,4,15.5,11.4
12,29.7,7.05,28.3,20.1
12,15.3,3.95,17.7,6.9
12,17,3.65,19.5,15.6
12,52,9.25,30.6,17.5
12,22.4,3.85,19.3,15.9
12,29.3,7.55,23.9,16.6
12,41.8,9.05,30,15.3
12,35.7,5.75,27.7,19.1
12,43.4,7.55,27.2,17.4
12,32.5,5.8,26.7,15.7
12,33.4,5.5,22.6,16.4
12,43,6.95,26.6,16.1
12,40.5,7.05,26.8,15.6
12,44.7,8.9,22,14.4
12,48,6.05,28.9,18.1
12,30.6,6.1,27.3,20.8
12,13,3,17.7,13.1
12,31.5,5.7,23.8,15.7
12,19,6.3,20,15.5
12,23.6,4.65,19.5,17.2
12,14,3.05,18.7,14.6
12,39.3,7.55,27.6,16
12,31.6,5.3,23.7,16.2
12,18.7,3.7,20.3,17.6
12,36.1,5.55,26,14.8
12,22.5,3.5,24.5,18.3
12,34,5.45,26.7,17.9
12,24,3.65,18.9,13.3
12,28.7,7.25,28.1,17.4
12,31.1,5.55,25.6,15.1
12,22.5,5.45,15.6,11
12,39.5,8.6,25.6,16.2
12,31.1,4.7,26,17.6
12,35.3,6.3,26.6,18.8
12,18.1,4.85,16.3,11
12,35.4,7.2,26.1,13.4
12,26.3,5.05,20.1,17.1
12,40.2,8.7,26.9,14
12,28.9,5.25,22.5,16
12,28,4.1,23.1,14.4
12,28,6.05,24.8,17.6
12,18.6,4.8,22,17.9
12,39.2,7.1,27.1,17.9
12,30.7,5.85,24.2,16.5
12,20.9,4.25,21.2,16.7
12,34.4,4.55,22.7,17.5
12,23.5,5.4,18.3,12.4
12,38.5,7.9,27.3,18.7
12,15.1,3.65,17,14
12,32.5,7.45,27.6,20.2
12,29.1,5.85,26,13.7
12,35.5,6.65,26.4,18.1
12,40.4,5.75,29.2,18.3
12,40.3,8.6,31.2,19.2
12,28.8,7.8,23.7,15.2
12,14.2,3.45,17.8,13.9
12,19.3,3.75,19.4,16.3
12,15.5,2.65,18.7,15.9
12,22.5,4.65,18.7,9.4
12,26,2.85,22.4,16.4
12,38.1,8.25,27.6,16.4
12,34.7,7.7,23.6,13.6
12,22.6,5.25,25.4,17.1
12,15.5,3.15,16.5,14.2
12,49,9.05,28.5,17.7
12,29.1,5.05,24,18
12,30.6,6.1,25.7,15.1
12,9.5,2.85,12.7,9.7
12,25.4,5.55,21,14.7
12,19,5.2,16.5,12.6
12,37,7.05,25,15.1
12,26.3,4.5,22.9,15.4
12,39.6,6.05,24.8,16.7
12,24.1,5.8,18.9,11.9
12,18.8,4.4,18.4,14.8
12,35.5,7.95,23.5,18.7
12,27.8,4.9,27.6,17.7
12,42,7.65,27.9,16.5
12,31.1,6.7,26.4,15.9
12,28.9,5.75,25.1,18
12,30.3,7.05,28.3,19.6
12,36.5,6.1,28.8,19.9
12,34.5,6.05,25.1,15.1
32,30,7.55,17.1,6.6
32,32.9,6.1,20.5,12.5
32,31.3,6.5,18.2,9.9
32,30.1,6.5,19.6,16.4
32,36.3,9.25,19.5,11
32,19.3,4.25,14.4,8.5
32,36.7,7.8,20.4,12.9
49,35.5,8,11.4,4.1
49,30.8,6.75,14.3,5
49,41,7.75,16,5.3
18,25.3,5.8,15.5,5.5
18,11.5,3.8,7.9,4.5
18,12.1,4.25,8.5,3.9
18,15.9,3.55,8.8,2.8
37,25.3,7.9,19.3,12.7
37,10,4.75,12,9
37,41,9.75,25.8,11.9
37,36.5,8.8,22,16.2
37,44,9,22.5,11.2
37,24.3,6.9,15,8.5
37,59.3,11.75,25,19
59,75.2,16.1,26.7,20.6
16,8.5,4.35,5,2.3
16,12.5,4.8,7.9,3
8,12.4,2.9,15.8,11.4
8,34.1,7.4,22.8,9
8,14.2,4.15,16.7,11.9
8,11.9,4,10.5,8.2
8,65.1,10.85,32.8,13.6
8,11.5,4.5,15.6,10.2
8,12.1,4.35,13.4,5.6
8,9.5,3.45,12.7,8.5
8,9.7,3.25,9.9,7.3
8,32.1,8.15,25.9,10.5
8,16.2,4.45,17.9,3.6
8,19.5,4.45,20.3,13.8
8,10,4.2,14.4,9.2
8,9.7,4,11.8,6.5
8,18.3,5.5,16.2,4.5
8,11,4,11.4,7.6
8,15.1,4.2,14.1,4.7
8,9.8,3.5,14.7,10
8,17.3,4.25,20.4,8.4
8,27.3,4.4,27,11
8,24.5,6.55,24,11.8
8,11.3,4.7,12.3,4.1
8,19.8,4.2,20.8,12.5
8,9,3,6.6,4
8,10.6,5.6,13.9,7.6
8,12.2,3.65,16,9.6
8,15.2,4,18.3,14.3
8,19.2,3.65,22.8,10.4
8,16.9,5.5,14.1,10.8
8,16.1,4.25,15.7,13.5
8,13.3,4.45,12.7,3
8,29.4,5.8,25.8,12.5
8,17.5,3.55,17.4,11.4
8,9.5,4.5,7.2,3.5
8,20.5,5.25,19.8,8.6
8,14.5,3.65,17.3,10.1
8,15,4.15,17.7,10.5
8,37.5,6.75,27.3,12.7
8,11.2,4.35,15.3,5.7
8,52.2,9.25,31.5,14.9
8,16.4,4.3,15.6,11.7
8,9.1,3,13.2,9
8,8.7,3.5,13.3,8.7
8,9.3,3.4,13.3,10.8
8,25.5,4.3,25.6,13.4
8,18.4,5.05,16.1,5.8
8,11.6,4.25,13.5,8.6
8,24.7,5.1,22.4,14.4
8,21.6,4.65,18.8,11.9
8,12.6,4.75,16.7,9.6
8,11.5,2.9,10.5,8.3
8,13.7,3.55,19.3,15.8
8,9.1,3.5,8.1,5.8
8,14,3.8,17.4,8.5
8,23.5,4.75,21.8,13.8
8,25.6,5.6,20.2,14.2
8,24.3,4.25,23.9,15.7
8,18.8,3.8,19.9,15
8,10.5,3.65,16.9,9.5
8,20.9,4.95,13.5,3.4
8,18.2,5.7,15.4,9.1
8,16.8,6,17.4,5.6
8,13,3.5,8.5,6.7
8,18.1,5.25,19.4,10.8
8,11.4,4,16.7,8.3
8,28.9,4.8,23.9,15.5
8,12.9,3.65,16,11.9
8,37.5,8.8,30.7,15.5
8,29.2,6.25,23.7,12.4
8,26,4.25,18.9,14.7
8,13.4,3.55,11.5,6.8
8,12.2,3.25,13.4,9
8,20.3,3.9,17.4,13.5
8,17.4,4.5,19.3,9.5
8,13.3,4.85,17,14.2
8,30.8,5.6,24.5,11.3
30,24.8,3.8,24.2,18
30,51.2,10.65,26.8,15
30,25.8,4.75,26.2,20.3
30,60.8,10.85,30.3,19.7
30,60,10.7,30.4,19
30,39.7,6.4,24.6,18
30,46.3,8.05,28.4,17.9
30,44,9.65,25,1
30,29.5,5.85,20.3,15.4
30,23.1,5.65,26.4,18
30,26,5.75,20.9,1
30,36.5,7.2,23.6,1
30,49.4,8.95,28,18.2
30,18.8,4.55,20.6,16.7
30,14.2,4.95,10.6,5.4
30,24.8,4.95,22.7,17.1
30,47.1,9.35,17.3,1
30,44.6,8.8,26.6,15.2
30,37.8,7.1,25,16.5
30,24.8,8.25,17.2,11.2
30,27.7,5.95,22.7,1
26,10.2,3.85,10,5.9
26,39.8,6.2,23.4,13.9
26,28.1,5.85,18.5,12.3
26,19.8,6.55,18.8,11.1
26,41.5,9,28.7,16.6
26,25.7,7.5,22.7,11.9
26,43.4,11,21.3,13.7
26,30.4,5.45,25.5,18.6
26,45.2,9.65,24.5,14.3
26,9.6,5.2,11.5,4.7
26,40.2,10.95,22.6,12.6
26,45.8,11.7,23.1,13.7
26,38.4,6.85,25.7,17.9
26,18.2,5.1,20,14.7
26,46.7,9.85,27,18.2
26,37.8,8.95,22.1,15.9
26,11.6,3.3,11.7,9.3
26,51.4,9.75,31.8,18.4
26,45.1,11.05,26.7,11.8
26,51.3,12.75,23.9,11.7
26,36.5,7.2,30.5,18.6
26,9.9,4.5,11,7.1
26,14.7,3.8,17.6,13.4
26,25.2,4.9,25.2,15.9
26,46.9,11.15,30.7,20.5
26,24,5.35,21.2,16.7
26,42.6,8.75,30.5,17.2
27,17.7,4.8,17.1,10.2
27,21.7,4.9,15.9,9.3
27,11.4,4.05,13.3,10.1
27,28,6.95,20.5,12.7
27,24.4,5.15,20.4,14.6
27,41.8,12.1,22.7,9.6
27,15.7,4.55,13.1,9.8
27,18.3,5.15,17.3,4.7
27,32,8.05,19.6,9.2
27,15.1,4.05,17.6,13.3
27,13.9,5.2,10.4,7.5
27,14,2.5,13.8,8
27,23.5,5.95,18.4,13.1
27,30.8,7.05,21.9,11.3
21,8.6,2.9,6.1,3.2
21,8.6,3.05,5.8,3.2
21,41.4,4,19.7,10.2
21,10.1,2.65,5.1,2.6
21,10.1,3.25,6.1,3.2
21,11.5,2.95,7.1,2.7
21,12.5,3,6.9,3.2
21,8.6,3.25,5.8,3
21,9,2.4,6.1,3.9
21,10.4,2.55,7.3,2.9
21,9.3,3.5,6.9,2.6
21,9.5,2.55,6.6,3.8
21,10,1.95,7.3,3.5
21,53.3,8.7,26.7,15.9
21,61.5,9,25.1,14.4
21,11.9,2.25,9.4,5.7
21,8.8,2.15,7.8,4.6
21,11.3,3,7.1,3.3
21,9,3,7.1,4.1
21,12.2,2.45,10.5,4.5
21,9,2.05,7.4,3.8
21,9.6,2.1,7.2,3.9
21,11,2,8.5,5.6
21,50.2,9,27.1,24.2
21,28.9,5.05,18.1,13.3
21,60.6,7.7,29.8,18.5
21,10.8,2.2,7.2,3.8
21,59.6,9.65,29.8,17.9
42,24.7,7.65,22.7,13.4
42,38.5,10.1,25.7,10.9
42,41.8,11.2,23.7,14.3
